Bomb,Yield (kilotons)
W76-2 (US) (2022),6
"""Little Boy"" (Hiroshima, 1945) (US)",15
"""Fat Man"" (Nagasaki, 1945) (US)",21
W76 (UK) (2022),100
TN-75 (France) (2022),150
Agni-II Warhead (India) (2022),150
Agni-II Warhead (India) (2022),200
TN-80/TN-81 (France) (2022),300
W78 (US) (2022),335
W88 (UK) (2022),475
Nuclear Warhead (China) (2022),500
Mod 2 Warhead (Russia) (2022),750
Nuclear Warhead (Russia) (2022),800
DF-4 Warhead (China) (2022),1000
B83 Aircraft Bomb (US) (2022),1200
Avangard Warhead (Russia) (2022),2000
